thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
达权知变,dá quán zhī biàn,đạt quyền tri biến,,Liên hợp,Tích cực,,"Dùng làm vị ngữ, định ngữ hoặc tân ngữ; chỉ hành động không cứng nhắc, linh hoạt, thích ứng với hoàn cảnh.","Chỉ hành động không bám víu vào quy tắc cũ, mà có thể thay đổi và điều chỉnh theo tình huống thực tế.",主四方之事的，顶寇束带，谓之丈夫；出将入相，无所不为；须要博古通今，～。 ★明·冯梦龙《醒世恒言》卷十一," ""Người đảm nhiệm công việc lớn, không theo khuôn phép, có thể xử lý mọi tình huống, làm việc không gì là không thể; cần phải thông tuệ cả cổ và kim, mới gọi là người có tài."" (Minh · Phùng Mộng Long – Tỉnh Thế Hằng Ngôn, quyển 11)",达权通变,,"""《Hậu Hán Thư - Giả Khuê Truyện》: '《Tả Thị》 nghĩa lý sâu sắc hơn về vua cha, 《Công Dương》 chú trọng nhiều vào quyền biến.'""",
达权通变,dá quán tōng biàn, đạt quyền thông biến,,Liên hợp,Tích cực,,"Dùng làm vị ngữ, định ngữ hoặc tân ngữ; chỉ hành động thích ứng linh hoạt, có khả năng thay đổi theo tình huống.","Thông, đạt: hiểu rõ, thông suốt. Quyền, biến: có khả năng thay đổi, ứng phó linh hoạt. Ý nói thực hiện lý lẽ và hành động một cách linh hoạt, hiểu được sự thay đổi của tình huống, biết thay đổi và không bám vào quy tắc cũ.",,,达权知变,,"""《Hậu Hán Thư - Giả Khuê Truyện》: '《Tả Thị》 có nghĩa lý sâu sắc hơn về vua và cha, 《Công Dương》 chú trọng nhiều vào quyền biến.'""",
达观知命,dá guān zhī mìng,đạt quan tri mệnh,,Liên hợp,Tích cực,,"
→ Dùng làm tân ngữ hoặc định ngữ; chỉ chấp nhận số mệnh, không chống lại số phận.","Đạt quan: chỉ buông xuôi, để mọi việc tự nhiên hoặc có thái độ lạc quan. Mệnh: số mệnh. Tri mệnh: chỉ hiểu và chấp nhận số mệnh, đối diện với những điều không như ý trong cuộc sống mà không phiền muộn, để mặc số phận sắp đặt.",〖示例〗你可不能有达观知命的思想。,"""Bạn không thể có tư tưởng chấp nhận số mệnh như vậy.""",听天由命,,"""Máo Đ shield trong 'Huyễn Diệt' chương 14: 'Những tư tưởng của người đạt quan và hiểu mệnh đã tạm thời đưa Tĩnh rời khỏi những gai góc khổ đau. Khi trời sắp sáng, cô ấy cũng đã chìm sâu vào giấc ngủ.'""",
达诚申信,dá chéng shēn xìn,đạt thành thân tín,,Liên hợp,Tích cực,Thành ngữ về sự trung thành,Dùng làm vị ngữ; sử dụng trong văn viết.,“Đạt”: biểu đạt; “Thân”: làm rõ; “Tín”: thành thật. Ý chỉ thể hiện lòng trung thành và thành thật.,,,,,"""Thanh - Cao Tuyết Tinh trong 'Hồng Lâu Mộng' hồi 78: 'Viên Hồng Viện dâng lên những viên ngọc mờ, những hạt ngọc của cá tuyết, suối thơm của nước, trà lá phong: mặc dù bốn món này nhỏ bé, nhưng cũng là tấm lòng chân thành và lòng tin cậy gửi gắm.'""",
代为说项,dài wéi shuō xiàng,đại vi thuyết hạng,,Chính phụ,Tích cực,Các thành ngữ khác về lời nói,"Dùng làm vị ngữ, tân ngữ hoặc định ngữ; chỉ hành động nói tốt giúp người khác, làm trung gian giúp đỡ.","Ý chỉ việc nói lời có lợi, biện hộ hoặc giúp đỡ người khác.",清·李宝嘉《官场现形记》第19回：“过道台不见他，弄的没法，只好托了别位道台写信代为说项。”,"Thanh · Lý Bảo Gia – Quan Trường Hiện Hình Ký, hồi 19: “Không tìm được ông qua đạo台, bối rối không biết làm sao, chỉ có thể nhờ một vị đạo台 khác viết thư thay mặt làm tốt lời biện hộ.”",代人说项,,"""Tống - Kế Hữu Công trong 'Đường Thi Kỷ Sự - Hạng Tư': 'Mấy lần thấy thơ đều hay, nhưng khi xem thì tiêu chuẩn quá cao so với thơ, suốt đời không hiểu lòng người giấu giếm tài năng, đi đâu cũng gặp người nói về Hạng Tư.'""",
代人受过,dài rén shòu guò,đại nhân thụ quá,,Động tân,Tích cực,Thành ngữ về tội lỗi,Dùng làm tân ngữ; chỉ hành động chịu trách nhiệm thay cho người khác.,"“Thụ”: chịu đựng, gánh vác; “Quá”: sai lầm, lỗi lầm. Ý chỉ chịu trách nhiệm thay người khác vì những sai lầm của họ.",各省系军阀慑于人民的巨大力量，都不肯代人受过，曹辊也就不敢一意孤行。（陶菊隐《北洋军阀统治时期史话》）,"""Các tỉnh dưới quyền quân phiệt, sợ sức mạnh lớn lao của nhân dân, đều không chịu gánh vác sai lầm thay người khác, vì vậy Cao Quần không dám làm theo ý mình."" (Đào Cúc Ẩn – Lịch sử thời kỳ thống trị của quân phiệt Bắc Dương)",代为受过,,"""陶菊隐 trong 'Bắc Dương Quân Phiệt Thống Trị Thời Kỳ Sử Thoại': 'Các tỉnh quân phiệt đều sợ hãi trước sức mạnh khổng lồ của nhân dân, nên không dám thay người chịu tội, Cao Quân cũng không dám hành động một cách độc đoán.'""",
代人捉刀,dài rén zhuō dāo, đại nhân tróc đao,,Chính phụ,Tích cực,Thành ngữ về đao ,"Dùng làm vị ngữ; chỉ hành động thay người khác làm việc, thường liên quan đến viết bài, làm công việc thay thế."," ""Chộp dao"": chỉ việc thay người khác viết bài hoặc làm một công việc gì đó thay họ.",他经常代人捉刀,Anh ấy thường xuyên làm bài thay người khác.,他文笔流畅，故常～。,,"""Nam Triều - Tống - Lưu Ý Khánh trong 'Thế Thoại Tân Ngữ - Dung Chỉ': 'Sau khi xong, sai gián điệp hỏi: 'Vương của nước Ngụy thế nào?' Sứ giả Hung Nô đáp: 'Vương của nước Ngụy có tài năng vượt trội, nhưng có người cầm dao ở đầu giường, đó mới là anh hùng.' Vương của nước Ngụy nghe xong, liền truy sát sứ giả này.'""",
代人说项,dài rén shuō xiàng,đại nhân thuyết hạng ,,Chính phụ,Tích cực,Các thành ngữ khác về lời nói,"Dùng làm vị ngữ hoặc tân ngữ; mang nghĩa tiêu cực, chỉ hành động nói tốt cho người khác dù không cần thiết."," Chỉ việc nói lời có lợi cho người khác, đôi khi để làm trung gian hoặc che giấu sự thật.",他总爱代人说项。,"Anh ta luôn thích nói tốt cho người khác, dù không phải lúc nào cũng cần thiết.",代为说项,,"""Tống - Kế Hữu Công trong 'Đường Thi Kỷ Sự - Hạng Tư': 'Mấy lần thấy thơ đều hay, nhưng khi xem thì tiêu chuẩn quá cao so với thơ, suốt đời không hiểu lòng người giấu giếm tài năng, đi đâu cũng gặp người nói về Hạng Tư.'""",
代代相传,dài dài xiāng chuán,đại đại tương truyền,,Chủ vị,Tích cực,,Dùng làm vị ngữ hoặc tân ngữ; chỉ hành động truyền từ thế hệ này sang thế hệ khác.,Ý chỉ việc truyền lại từ thế hệ này sang thế hệ khác.,我们一定要将林州人民战天斗地、艰苦创业的“红旗渠精神”代代相传。,"Chúng ta nhất định phải truyền lại tinh thần ""Kênh Hồng Kỳ"" của người dân Lâm Châu, đấu tranh với thiên nhiên, vượt qua khó khăn để xây dựng sự nghiệp, từ thế hệ này sang thế hệ khác.",世代相传,,"""陆文夫 trong 'Những Người Suzhou Bị Nữ Hóa': 'Qua các thế hệ, điều này đã khiến người Suzhou có một sự khép kín nhất định trong tâm lý văn hóa.'""",
代拆代行,dài chāi dài xíng,đại sách đại hành ,,Liên hợp,Tích cực,,"Dùng làm vị ngữ; chỉ việc có quyền lực lớn, có khả năng thay mặt quyết định và xử lý công việc."," “拆” chỉ hành động mở và xử lý văn bản, công văn; “行” chỉ việc quyết định, phê duyệt công việc. Thường ám chỉ quyền lực lớn khi người đứng đầu không có mặt và quyền lực được giao cho người khác thay thế.",其时抚台请病假，各事都由藩司代拆代行。（清 李宝嘉《官场现形记》第九回）,"""Lúc đó, khi Phủ Đài xin nghỉ ốm, tất cả công việc đều do Phán Sứ thay mặt mở và xử lý công văn, phê duyệt công việc."" (Thanh · Lý Bảo Gia – Quan Trường Hiện Hình Ký, hồi 9)",,,"""Thanh - Lý Bảo Gia trong 'Quan Trường Hiện Hình Ký' hồi 9: 'Lúc đó, Phủ Thái xin nghỉ ốm, mọi công việc đều do Phó Sứ thay thế giải quyết.'""",
代越庖俎,dài yuè páo zǔ,đại việt bào trở,,Liên hợp,Tích cực,,"Dùng làm vị ngữ hoặc định ngữ; chỉ hành động làm thay, đảm nhận công việc của người khác.","Ẩn dụ cho việc vượt qua giới hạn công việc của mình, làm thay việc của người khác.",清·陈天华《狮子吼》楔子：“是英雄自有英雄面，怕甚么代越庖俎，还他个一矢双穿。”,"""Anh hùng tự có diện mạo anh hùng, sợ gì làm thay công việc của kẻ khác, còn giúp hắn một mũi tên bắn trúng hai con."" (Thanh · Trần Thiên Hoa – Sư Tử Hống, lời mở đầu)",越俎代庖,,"""《Trang Tử - Tiêu Dao Du》: 'Người đầu bếp dù không trực tiếp nấu nướng, nhưng linh mục vẫn không vượt qua bàn thờ và cúng tế thay cho họ.' Thành Hiển Anh chú giải: 'Người đầu bếp, là người quản lý bếp núc, giống như quan chức cung cấp bữa ăn ngày nay. 'Thân' là chủ thần trong đại miếu. 'Chúc' là người cúng tế, như các chức quan cúng tế trong đại miếu, cầm bản tế đối diện với thân và tiến hành cúng tế, vì vậy gọi là 'thân chúc'. 'Trân' là dụng cụ đựng rượu. 'Tố' là dụng cụ đựng thịt.'""",
代马依风,dài mǎ yī fēng,đại mã y phong ,,Chủ vị,Tích cực,,"Dùng làm tân ngữ; chỉ hành động nhớ nhung, thương tiếc quê hương.
","“代”: tên gọi của một quận ở phương Bắc trong thời cổ đại; “代马”: ngựa tốt sản xuất ở phương Bắc. Ẩn dụ cho tình cảm nhớ quê hương, không muốn sống và chết ở nơi xa lạ.",,,代马望北、狐死首丘,,"""Nam Triều - Tống - Phan Diệp trong 'Hậu Hán Thư - Ban Siêu Truyện': 'Tôi nghe nói, Thái Công phong cho nước Tề, năm đời an táng tại Chu, cáo chết quay đầu về quê, ngựa thay đổi theo gió.'""",
代马望北,dài mǎ wàng běi,đại mã vọng bắc,,Chủ vị,Tích cực,"Thành ngữ về ngựa (Ngọ)
Thành ngữ về phía Bắc",Dùng làm tân ngữ hoặc định ngữ; chỉ hành động nhớ nhung và lưu luyến quê hương.,"Ẩn dụ cho tình cảm gắn bó với quê hương, không muốn sống xa nơi sinh ra và chết ở đất lạ.",,,代马依风,,"""Hán - Wang Fu trong 'Tiềm Phu Luận - Thực Biên': 'Hơn nữa, người ta coi trọng việc di chuyển, lưu luyến mồ mả, đó là điều mà người hiền lương hay kẻ bất tài đều giống nhau... Ngựa thay đổi theo gió hướng Bắc, cáo chết quay đầu về quê, dân biên giới thận trọng dừng lại, đặc biệt là ghét sự lưu lại trong nội địa.'""",
呆似木鸡,dāi sì mù jī,ngai tự mộc kê ,,Chính phụ,Tiêu cực,," Dùng làm vị ngữ, trạng ngữ hoặc bổ ngữ; chỉ hành động ngây ra, đứng im như gỗ.","Ngây ra như gà gỗ. Miêu tả trạng thái hoảng sợ hoặc ngạc nhiên đến mức không phản ứng gì, đứng im như tượng.",,,呆如木鸡,,"""《Trang Tử - Đạt Sinh》: 'Gần như vậy. Gà dù có tiếng gáy, nhưng đã không còn thay đổi nữa, nhìn vào thì giống như gà gỗ, đức hạnh hoàn hảo rồi; những con gà khác không dám đáp lại, chúng quay đầu bỏ chạy.'""",
呆头呆脑,dāi tóu dāi nǎo,ngai đầu ngai não,,Liên hợp,Tiêu cực,Thành ngữ về sự ngu ngốc,"Dùng làm trạng ngữ; mang nghĩa tiêu cực, chỉ sự thiếu linh hoạt, chậm chạp.","""Đần"" chỉ sự cứng nhắc, thiếu linh hoạt, miêu tả suy nghĩ và hành động chậm chạp, vụng về.",小凤仙的脾气，人家说她不合时宜，其实她也是呆头呆脑，不惯作妓女腔，与人不合。（蔡东藩、许廑父《民国通俗演义》第五十一回）," ""Tính khí của Tiểu Phượng Tiên, người ta bảo cô ấy không hợp thời, thật ra cô ấy cũng đần độn, không quen với kiểu nói của kỹ nữ, nên không hòa hợp với người khác."" (Tái Đông Phan, Hứa Tiết Phụ – Dân Quốc Thông Dục Diễn Nghĩa, hồi 51)",目瞪口呆、张口结舌,,"""Nguyên - Mã Chí Viễn trong 'Yueyang Lâu' hồi 3: 'Cái loại đầu óc ngu si này khuyên không quay lại, phì! Không phải làm cái gì mà vất vả chạy trốn trong thế gian này đến chín nghìn dặm.'""",
呆如木鸡,dāi rú mù jī,ngai như mộc kê,,Chính phụ,Tiêu cực,,"Dùng làm vị ngữ, trạng ngữ hoặc bổ ngữ; chỉ hành động ngây ra, cứng nhắc.","Ngây ra như gà gỗ. Miêu tả trạng thái hoảng sợ hoặc ngạc nhiên đến mức không thể phản ứng, đứng im như tượng.",那几个军人和财主，一个个呆如木鸡。★鲁彦周《廖仲恺》第六章八五,"""Mấy người lính và chủ đất kia, mỗi người đều ngây ra như gà gỗ."" (Lỗ Diễn Chu – Liêu Trọng Khải, chương 6, đoạn 85)",呆若木鸡,,"""《Trang Tử - Đạt Sinh》: 'Gần như vậy. Gà dù có tiếng gáy, nhưng đã không còn thay đổi nữa, nhìn vào thì giống như gà gỗ, đức hạnh hoàn hảo rồi; những con gà khác không dám đáp lại, chúng quay đầu bỏ chạy.'""",
呆若木鸡,dāi ruò mù jī,ngai nhược mộc kê,,Chính phụ,Tiêu cực,,"Dùng làm vị ngữ, trạng ngữ hoặc bổ ngữ; mang nghĩa tiêu cực, chỉ sự đần độn, ngây ra.","""Đần"": chỉ trạng thái ngây ra, cứng nhắc, thiếu linh hoạt. Ngây ra như gà gỗ dùng để miêu tả hành động hoặc trạng thái ngẩn ngơ do sợ hãi hoặc ngạc nhiên.",匪首侯殿坤，在得知这个噩耗之后，特别是知道了老妖道的落网后，当即呆若木鸡。（曲波《林海雪原》二八）," ""Tên cướp đầu sỏ Hầu Điện Quân, khi biết tin dữ này, đặc biệt là khi biết tên đạo sĩ già bị bắt, ngay lập tức ngây ra như gà gỗ."" (Quý Bo – Lâm Hải Tuyết Nguyên, chương 28)",呆头呆脑、目瞪口呆,,"""《Trang Tử - Đạt Sinh》: 'Sắp hết rồi. Gà dù có gáy, nhưng đã không còn thay đổi, nhìn vào thì giống như gà gỗ, đức hạnh đã hoàn thiện; những con gà khác không dám đáp lại, chúng quay đầu bỏ chạy.'""",
呆里撒奸,dāi lǐ sā jiān,ngai lí tát gian ,,Chính phụ,Tiêu cực,Thành ngữ về tính cách,"Dùng làm vị ngữ, định ngữ hoặc tân ngữ; chỉ người vẻ ngoài ngốc nghếch nhưng thực chất lại gian xảo, mưu mô."," Miêu tả người có vẻ ngoài ngu ngốc, nhưng bên trong lại rất xảo trá.",你休呆里撒奸，我手里使不的你巧语花言。（明 兰陵笑笑生《金瓶梅词话》第八十六回）,"""Đừng có giả vờ ngây ngô để bày trò xảo trá, tôi không bị mấy lời nói ngọt ngào của cậu lừa đâu."" (Minh · Lan Lĩnh Tiếu Tiếu Sinh – Kim Bình Mai Từ Họa, hồi 86)",,,"""Minh - Lan Lĩnh Tiếu Tiếu Sinh trong 'Kim Bình Mai Từ Thoại' hồi 86: 'Đừng có ở đó mà bày mưu tính kế, ta không thể bị mày lừa bằng những lời nói ngọt ngào đâu.'""",
带减腰围,dài jiǎn yāo wéi,đới giảm yêu vi ,,Rút gọn,Tích cực,Thành ngữ về sức khỏe,"Được dùng làm tân ngữ, định ngữ; miêu tả nỗi lo âu vì bệnh tật",Thường được dùng để miêu tả sự hao mòn và gầy yếu do bệnh tật.,安得车轮四角，不堪带减腰围。★宋·辛弃疾《木兰花慢》词,"""'Làm sao có thể có bốn góc xe, không chịu nổi việc giảm vòng eo.'""
★ Tống - Tân Khí Diệp trong bài 'Mộc Lan Hoa Chậm'.",,,"""Trích từ 'Lương Thư - Chiêu Minh Thái Tử Thống Truyện': 'Thân thể vốn khỏe mạnh, thắt lưng thắt mười vòng, đến nay đã giảm đi hơn một nửa.'""",
带月披星,dài yuè pī xīng,đới nguyệt phi tinh,,Liên hợp,Tích cực,Thành ngữ về sự chăm chỉ cầu tiến,"Được dùng làm vị ngữ, trạng ngữ; miêu tả sự vất vả bôn ba","Miêu tả việc dậy sớm, đi ngủ muộn, bôn ba không ngừng.",$False$,,披星带月,,"""Nguyên - Vô Danh trong 'Chu Sa Đảm' hồi 1: 'Mang theo ánh trăng và những vì sao, chịu đựng giá lạnh, rời khỏi quê hương.'""",
带水拖泥,dài shuǐ tuō ní,đới thuỷ tha nê,,Liên hợp,Tiêu cực,,"Được dùng làm vị ngữ, tân ngữ, định ngữ; chỉ sự không quyết đoán.",① Miêu tả tình trạng bùn lầy khó đi. ② So sánh với sự không thuận lợi hoặc không quyết đoán.,一甲子、带水拖泥，今岁谢君恩，放还山去。★宋·刘克庄《解连环·甲子生日》词,"""Một giáp, kéo nước dính bùn, năm nay cảm ơn ân huệ của ngài, rồi lại trở về núi.""
★ Tống - Lưu Khắc Tràng trong bài 'Giải Liên Hoàn - Giáp Tử Sinh Nhật'.",拖泥带水、拖浆带水,,"""Tống - Diệp Thích trong 'Tu Lộ Sớ': 'Từ Nam ra Bắc, đâu cần lo lắng về nước bùn dính theo; sáng đi tối về, không đến mức va đầu đụng trán.'""",
带河厉山,dài hé lì shān,đới hà lệ sơn,,Rút gọn,Tích cực,Thành ngữ về sông (Hà),"Làm tân ngữ, định ngữ; chỉ lãnh thổ quốc gia.","Đai: đai áo; Hà: sông Hoàng Hà; Lệ: thông với “lị”, nghĩa là đá mài dao; Sơn: núi Thái Sơn.
Sông Hoàng Hà nhỏ như dải lụa áo, núi Thái Sơn nhỏ như hòn đá mài dao.",,,带砺河山、带砺山河,,"""Tây Hán - Tư Mã Thiên trong 'Sử Ký - Cao Tổ Công Thần Hầu Giả Niên Biểu': 'Lời thề phong tước nói rằng: 'Hãy để sông Hào như một dải, núi Thái Sơn như một vách đá, quốc gia vĩnh viễn an bình, kéo dài đến con cháu.'""",
带牛佩犊,dài niú pèi dú,đới ngưu bội độc,,Liên hợp,Tích cực,,"Làm vị ngữ, tân ngữ; chỉ việc coi trọng nông nghiệp.","Ban đầu chỉ việc Thái thú Bột Hải thời Hán Tuyên Đế là Công Toại thuyết phục những nông dân khởi nghĩa cầm đao kiếm từ bỏ đấu tranh vũ trang để làm ruộng. Về sau dùng để ví việc chuyển nghề, quay lại làm nông.",,,,,"""《Hán Thư - Công Tuế Truyện》: 'Có dân chúng mang theo dao kiếm, sai họ bán kiếm mua bò, bán dao mua con bò con, nói rằng: 'Sao lại mang bò và đeo con bò con.'""",
带着铃铛去做贼,dài zhe líng dāng qù zuò zéi,đới trứ linh đang khứ tố tặc,,Câu phức,Tiêu cực,,"Làm tân ngữ, định ngữ; dùng trong xử sự.",Ẩn dụ việc định làm chuyện bí mật nhưng lại tự mình rêu rao trước.,既是一点儿把握都没有，却天天在那里叫嚣狂掷，岂不是俗语说的带着铃铛去做贼吗？（《晚清文学丛钞 新中国未来记》第五回）,"Đã không có chút tự tin nào, lại suốt ngày la lối om sòm, chẳng phải là như tục ngữ nói “đeo chuông đi ăn trộm” sao? (Trích “Tân Trung Quốc Vị Lai Ký” – Hồi thứ năm trong Tuyển tập văn học cuối Thanh)",掩耳盗铃,,"""《Vãn Thanh Văn Học Tùng Sưu - Tân Trung Quốc Tương Lai Ký》 hồi 5: 'Nếu đã không có chút nắm bắt nào, mà lại suốt ngày la lối ầm ĩ, chẳng phải là điều mà tục ngữ nói 'đeo chuông đi trộm' sao?'""",
带砺山河,dài lì shān hé,đới lệ sơn hà,,Chính phụ,Tích cực,Thành ngữ về sông (Hà),"Làm tân ngữ, định ngữ; chỉ lãnh thổ quốc gia.","Đai: đai áo; Lị: đá mài dao; Sơn: núi Thái Sơn; Hà: sông Hoàng Hà.
Sông Hoàng Hà nhỏ như dải lụa, núi Thái Sơn nhỏ như đá mài dao. Ẩn dụ cho thời gian lâu dài, dù có biến động cũng không thay lòng đổi dạ.",刘斯奋《白门柳·秋露危城》第八章：“便会获得‘列爵分土’、‘带砺山河’的厚遇。”,"Lưu Tư Phấn – “Bạch Môn Liễu · Thu Lộ Nguy Thành” chương 8: “Sẽ nhận được đãi ngộ hậu hĩnh như ‘phong hầu chia đất’, ‘sơn hà như đá mài đai áo’.”",带砺河山,,"""《Sử Ký - Cao Tổ Công Thần Hầu Giả Niên Biểu》: 'Lời thề phong tước nói rằng: 'Hãy để sông Hào như một dải, núi Thái Sơn như một tảng đá sắc bén, quốc gia vĩnh viễn an bình, tình yêu sẽ kéo dài đến con cháu.'""",
带砺河山,dài lì hé shān,đới lệ hà sơn,,Chính phụ,Tích cực,Thành ngữ về sông (Hà),"Làm tân ngữ, định ngữ; chỉ lãnh thổ quốc gia.","Đai: đai áo. Lị: đá mài dao. Hà: sông Hoàng Hà. Sơn: núi Thái Sơn.
Hoàng Hà như dải lụa, Thái Sơn như đá mài dao. Đây là điều không thể xảy ra.
Xưa dùng để biểu thị tước vị được ban sẽ truyền lâu dài, hàm ý giang sơn bền vững mãi mãi.",,,带砺山河,,"""Nguyên - Lưu Chí trong 'Thủy Tiên Khúc - Vi Bình Chương Nam Cốc Công Thọ Phúc Lâu Phú': 'Màn đỏ, cột nhà vẽ tranh tựa vào bầu trời, mang theo sự sắc bén của sông núi nối tiếp bốn phương.'""",
带罪立功,dài zuì lì gōng,đới tội lập công,,Chính phụ,Tích cực,Thành ngữ về tội lỗi,"Làm vị ngữ, định ngữ; mượn để chỉ việc chuộc tội.","Mang tội mà lập công, nhằm tranh thủ giảm nhẹ hình phạt.",蔡东藩《五代史演义》第44回：“何妨令他带罪立功，乃骤加显戮，伤将士心。”,"Thái Đông Phàm – “Ngũ Đại Sử Diễn Nghĩa” hồi 44: “Hà tất không cho hắn lập công chuộc tội, lại vội vàng giết đi, chỉ làm tổn thương lòng quân sĩ.”",戴罪立功,,"""《Phi Long Kim Truyện》 hồi 43: 'Hoàng thượng tạm thời ân xá tội của Triệu Khuông Dẫn, ra lệnh cho ông ta mang tội lập công.'""",
带金佩紫,dài jīn pèi zǐ,đới kim bội tử,,Liên hợp,Tích cực,,"Làm vị ngữ, định ngữ; chỉ việc giữ chức vụ cao.","Kim: ấn vàng. Tử: dải lụa tím.
Mang ấn vàng, đeo dây tím. Dùng để miêu tả địa vị vô cùng hiển hách.",,,腰金佩紫、纡金拖紫,,"""Nam Triều - Tống - Lưu Ý Khánh trong 'Thế Thoại Tân Ngữ - Ngôn Ngữ': 'Tôi nghe nói, nam nhân xử thế, phải đeo vàng, mặc áo tím.'""",
待人接物,dài rén jiē wù,đãi nhân tiếp vật,,Liên hợp,Tích cực,Thành ngữ về giao tiếp – qua lại,"Làm chủ ngữ, tân ngữ, định ngữ; chỉ thái độ đối với con ngườ","Vật: nhân vật, con người. Chỉ việc giao tiếp và tiếp xúc với người khác.",他对事能从各方面看，能有充分的谅解精神，因此他的待人接物都有很合理的态度。（邹韬奋《患难余生记 流亡》）,"Anh ấy biết nhìn nhận sự việc từ nhiều khía cạnh, có tinh thần cảm thông sâu sắc, vì vậy thái độ đối nhân xử thế của anh luôn rất hợp lý. (Trích “Hoạn nạn dư sinh ký – Lưu vong” của Tào Tháo Phấn)",为人处世,,"""Hán - Tư Mã Thiên trong 'Báo Nhậm Thiếu Kinh Thư': 'Dạy phải thận trọng trong việc tiếp xúc với người, lấy việc tiến cử người hiền tài làm nhiệm vụ.'

Minh - Tao Tông Nghi trong 'Sơ Canh Lục' quyển 5: 'Hai việc trên có thể thấy các bậc tiền bối đều khiêm nhường, nhường nhịn, nâng đỡ những người đi sau, trong việc tiếp đãi và đối xử với người khác, cần phải như vậy.'""",
待价而沽,dài jià ér gū,đãi giá nhi cô,,Chính phụ,Tích cực,Thành ngữ về cơ hội,"Làm vị ngữ, tân ngữ, định ngữ; mang nghĩa chê bai.","Cô: bán. Chờ đến khi có giá tốt mới bán.
Ẩn dụ ai trả đãi ngộ tốt thì làm việc cho người đó.",像中世纪骑士那样站在虹的桥上，高揭着什么怪好听的旗号，而实在只是出头，或竟是待价而沽。,"Giống như hiệp sĩ thời trung cổ đứng trên cây cầu cầu vồng, giương cao những khẩu hiệu nghe có vẻ mỹ miều, nhưng thực chất chỉ là để nổi bật, hoặc thậm chí là đang “đợi giá mà bán mình”.",善价而沽、席珍待聘,,"""《Luận Ngữ - Tử Hàn》: 'Mua đi! Mua đi! Tôi đang chờ người bán.'""",
待价藏珠,dài jià cáng zhū,đãi giá tàng châu,,Rút gọn,Tích cực,,"Làm vị ngữ, tân ngữ, định ngữ; dùng trong xử thế.
","Đãi: chờ đợi; đãi giá: chờ được giá cao mới bán.
Cất giữ ngọc quý, chờ lúc có giá mới đem bán. Ẩn dụ người có tài học đang đợi được người khác phát hiện và trọng dụng.",明·胡文焕《群音类选·》：“待价藏珠未可轻，一朝持献明庭。”,"Minh – Hồ Văn Hoán, “Quần Âm Loại Tuyển”: “Đãi giá cất ngọc chớ nên xem thường, một mai dâng lên triều đình sáng suốt.”",待价而沽,,"""Xuân Thu - Lỗ - Khổng Tử trong 'Luận Ngữ - Tử Hàn': 'Tử Cống nói: 'Có một viên ngọc đẹp ở đây, có nên để trong hộp kín và giấu đi, hay là tìm người mua để bán nó?' Khổng Tử đáp: 'Mua đi! Mua đi! Tôi đang chờ người bán.'""",
待兔守株,dài tù shǒu zhū,đãi thỏ thủ chu,,Liên hợp,Tiêu cực,Thành ngữ về thỏ (Mão),"Làm tân ngữ, định ngữ; chỉ việc không biết linh hoạt.","Ẩn dụ việc cố chấp giữ nguyên quy tắc, không biết thích nghi hoặc mong muốn hưởng lợi mà không chịu nỗ lực, ngồi chờ sung rụng.
Tương đương với thành ngữ “thủ thụ đãi thố” (giữ gốc cây đợi thỏ).",,,守株待兔,,"""Tống - Trương Quân Phòng trong 'Tự': 'Khắc thuyền tìm kiếm kiếm, hình dáng có gì khác biệt; chờ thỏ dưới gốc cây, ý chí sao có thể xa xôi.'""",
待势乘时,dài shì chéng shí,đãi thế thừa thì ,,Liên hợp,Tích cực,,"Làm vị ngữ, định ngữ; dùng trong xử thế.","Thế: tình thế, cục diện.
Bình tĩnh quan sát tình hình, tận dụng thời cơ.",,,,,"""Nguyên - Vô Danh trong 'Đông Tô Tần' hồi 1: 'Theo thầy, chịu nghèo khổ, giữ sự bền bỉ, đợi cơ hội và thời thế, như con rồng gặp mây mưa, cuối cùng không phải là vật trong ao.'""",
待字闺中,dài zì guī zhōng,đãi tự khuê trung,,Chính phụ,Tích cực,Thành ngữ về hôn nhân,"Làm vị ngữ, định ngữ; mang nghĩa khen ngợi.","Tự: hứa gả; khuê: phòng ngủ của nữ giới.
Ở trong khuê phòng, chờ được hứa gả.
Xưa dùng để chỉ cô gái đã trưởng thành, đang đợi được cưới hỏi.",养成一个如珠似玉的女儿，不特好才貌，还缠得一双小足儿，现年十七岁，待字深闺。（清 黄小配《廿载繁华梦》第二回）,"Nuôi được một người con gái như ngọc như ngà, không chỉ xinh đẹp tài giỏi, lại còn bó chân nhỏ xíu, nay đã mười bảy tuổi, đang đợi được gả trong khuê phòng. (Thanh – Hoàng Tiểu Phối, Hai mươi năm phồn hoa mộng, hồi thứ hai)",,,"""《Lễ Ký - Qu曲 Lễ Thượng》: 'Con gái chuẩn bị kết hôn, đội trâm và được gọi tên.'""",
